"","ASSESSMENT","RECORD_ID","Pollu_ID","STREAM_LAK","STREAM_NAM","LAKE_NAME","BEACH_NAME","LLID_STR_1","LLID_LAKE","SEGMENT_ID","HUC_4TH_NA","HUC_3RD_NA","MILES","RM1","RM2","POLLUTANT","SEASON","SEASON_ID","ASSESSME_1","ASSESSME_2","ACTION","ACTION_ID","NUMERIC_CR","AFFECTED_U","LISTING_ST","STATUS_ID","PREVIOUS_S","PREVIOUS_A","LISTING_YE","TMDL_INFO","CRITERIA","COMMENTS","SUMMARY"
"515",26165,13165,132,"Elk Creek","Elk Creek","","",1235674436327,NA,10329,"Umpqua","Southern Oregon Coastal","0 to 45.6",0,45.6,"Temperature","Year Round (Non-spawning)",71,2010,"10/29/2010","No action",21,34,"Salmon and trout rearing and migration","Cat 5: Water quality limited, 303(d) list, TMDL needed",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved","Previous Action: Delisted - TMDL approved","Previous Assessment Year: 2010","TMDL Approved: 04/12/2007
Umpqua Basin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/umpqua.htm"">Umpqua Basin TMDL</a>","Salmon and trout rearing and migration: 18.0 degrees Celsius 7-day-average maximum","","2004 Data: 
[BLM - Roseburg] LASAR 27910 River Mile 45: From 7/11/1999 to 9/16/2002, 25 days with 7-day-average maximum > 18 degrees Celsius.
[NF - Willamette] LASAR 27984 River Mile 5.9: From 6/13/2001 to 10/19/2001, 0 days with 7-day-average maximum"
"516",23348,20723,86,"Coquille River","Coquille River","","",1244273431235,NA,2630,"Coquille","Southern Oregon Coastal","4.2 to 35.6",4.2,35.6,"Fecal Coliform","Year Round",3,2004,"4/25/2005","No action",21,2,"Shellfish growing","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: Added to database","Previous Assessment Year: 2004","","Fecal coliform median of 14 organisms per 100 ml; no more than 10% > 43 organisms per 100 ml","","Previous Data:  [DEQ/ODA - Salem] LASAR 11721 River Mile 5.6: From 1/15/1997 to 5/29/2002, 23 out of 71 samples (32%) > 43 organisms; median concentration of 23
[ODA] LASAR 11722 River Mile 5: From 1/16/1997 to 2/22/2000, 16 out of 52 samples (31%) > 43"
"517",27648,700,156,"Chewaucan River","Chewaucan River","","",1202308426483,NA,880,"Lake Abert","Oregon Closed Basins","35.2 to 61.5",35.2,61.5,"Biological Criteria","Year Round",3,2010,"3/4/2011","No action",21,3,"Resident fish and aquatic life","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: 303(d)","Previous Action: No status change","Previous Assessment Year: 1998","","Biocriteria: Waters of the state must be of sufficient quality to support aquatic species without detrimental changes in the resident biological communities.","Small number of reference sites in Northern Basin and Range region. Insufficient information to de-list based on PREDATOR model scores.","2010 Data: 
LASAR 10743 River Mile 34.9 FROM 10/8/1999 To 10/15/2004 0 out of 5 (0%) samples outside NBR regional criteria.

Previous Data:  USFS Data (2 Sites:  P7, 34S-18E-16 swnw and P8,35S-18E-34 swse):  BCI of 62 and 70 respectively indicated str"
"518",26013,12934,132,"North Fork Big Butte Creek","North Fork Big Butte Creek","","",1225778425589,NA,1481,"Upper Rogue","Southern Oregon Coastal","0 to 13.9",0,13.9,"Temperature","Year Round (Non-spawning)",71,2010,"10/29/2010","No action",21,33,"Core cold water habitat","Cat 5: Water quality limited, 303(d) list, TMDL needed",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved","Previous Action: Delisted - TMDL approved","Previous Assessment Year: 2010","TMDL Approved: 12/29/2008
Rogue River Basin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/rogue.htm"">Rogue River Basin TMDL</a>","Core cold water habitat: 16.0 degrees Celsius 7-day-average maximum","","2004 Data:
[BLM - Medford] LASAR 31268 River Mile 0.1: From 6/19/1998 to 10/8/2000, 202 days with 7-day-average maximum > 16 degrees Celsius.
[BLM - Medford] LASAR 31265 River Mile 5.5: From 6/16/1998 to 10/14/1998, 77 days with 7-day-average maximum >"
"519",10795,5303,171,"Wood Hollow","Wood Hollow","","",1185935454536,NA,509,"Umatilla","Middle Columbia","0 to 6",0,6,"Habitat Modification","Undefined",72,2002,"8/1/2002","No action",21,4,"Salmonid fish spawning; Resident fish and aquatic life; Salmonid fish rearing","Cat 4C: Water quality limited, not a pollutant",16,"Previous Status: Water quality limited not needing a TMDL","Previous Action: Delisted - Water quality limited, not a pollutant","Previous Assessment Year: 2002","","The creation of tastes or odors or toxic or other conditions that are deleterious to fish or other aquatic life or affect the potability of drinking water or the palatability of fish or shellfish may not be allowed.","","Using ODFW Habitat Benchmarks for Pool Area (% total Stream Area) Desirable >35, Undesirable <10 and Wood pieces per 100 m Desirable >20, Undesirable <10.  Survey results: Pool Area 2.8; Wood pieces 0.8 to 4.9.  All in undesirable category.  Other measur"
"520",10790,5292,171,"Bell Cow Creek","Bell Cow Creek","","",1185682455379,NA,494,"Umatilla","Middle Columbia","0 to 6.1",0,6.1,"Habitat Modification","Undefined",72,2002,"8/1/2002","No action",21,4,"Salmonid fish rearing; Salmonid fish spawning; Resident fish and aquatic life","Cat 4C: Water quality limited, not a pollutant",16,"Previous Status: Water quality limited not needing a TMDL","Previous Action: Delisted - Water quality limited, not a pollutant","Previous Assessment Year: 2002","","The creation of tastes or odors or toxic or other conditions that are deleterious to fish or other aquatic life or affect the potability of drinking water or the palatability of fish or shellfish may not be allowed.","","Using ODFW Habitat Benchmarks for Pool Area (% Total Stream Area) Desirable >35%, Undesirable <10% and Wood pieces per 100 m Desirable >20, Undesirable <10.  Survey results: Pool Area 3.9%; Wood pieces 4.9 to 13.9.   Undesirable pools and marginal wood."
"521",28558,21062,154,"Williamson Creek","Williamson Creek","","",1239748443170,NA,2422,"Alsea","Northern Oregon Coastal","0 to 2.7",0,2.7,"Dissolved Oxygen","October 15 - May 15",46,2010,"1/29/2013","No action",21,4,"Salmon and steelhead spawning","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: Status modification - EPA addition to 303(d) list","Previous Assessment Year: 2010","","Spawning: Not less than 11.0 mg/L or 95% of saturation","","2010 Data:
EPA addition to 303(d) list 12/14/2012:  Nine exceedences of the spawning criteria  out of 11 days of sampling between 10/18/00 and 10/21/09 at LASAR station 23747, Williamson Creek at mouth, tributary to North Fork Yachats River.

Previous"
"522",28752,24846,76,"Coleman Creek","Coleman Creek","","",1228220422858,NA,1637,"Middle Rogue","Southern Oregon Coastal","0 to 6.9",0,6.9,"E. Coli","Summer",1,2012,"4/1/2013","New Cat 4A: Water quality limited, TMDL approved",14,1,"Water contact recreation","Cat 4A: Water quality limited, TMDL approved",14,"","","","TMDL Approved: 10/02/2007
Bear Creek Watershed TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/rogue.htm"">Bear Creek Watershed TMDL</a>","30-day log mean of 126 E. coli organisms per 100 ml; no single sample > 406 organisms per 100 ml","","Based on EPA analysis of available data for 303(d) additions proposed in March 2012: Twenty-three  exceedences of the 406 maximum criteria out of 38 days of sampling at LASAR station 34106, Coleman Creek at Highway 99 (Bear, Middle Rogue), between 6/5/02"
"523",18534,15909,124,"North Fork Little Butte Creek/Fish Lake","North Fork Little Butte Creek","Fish Lake","",1226154424196,1223333423868,1501,"Upper Rogue","Southern Oregon Coastal","15.6 to 17.8",15.6,17.8,"pH","Summer",1,2004,"4/25/2005","No action",21,40,"Resident fish and aquatic life; Water contact recreation","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: Added to database","Previous Assessment Year: 2004","","pH 6.0 to 8.5","","Previous Data:  [DEQ] LASAR 28900 River Mile 0: From 7/23/2002 to 7/23/2002, 0 out of 1 samples (0%) outside pH criteria range 6 to 8.5.
[DEQ] LASAR 13781 River Mile 0: From 6/12/2002 to 9/23/2002, 19 out of 21 samples (90%) outside pH criteria range 6"
"524",28555,12490,154,"Keller Creek","Keller Creek","","",1239671442805,NA,2779,"Alsea","Northern Oregon Coastal","0 to 2.6",0,2.6,"Dissolved Oxygen","October 15 - May 15",46,2010,"1/29/2013","No action",21,4,"Salmon and steelhead spawning","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: Status modification - EPA addition to 303(d) list","Previous Assessment Year: 2010","","Spawning: Not less than 11.0 mg/L or 95% of saturation","","2010 Data:
EPA addition to 303(d) list 12/14/2012:  Eight exceedences of the spawning criteria  out of 11 days of sampling between 10/8/00 and 10/21/09 at LASAR station 23751, Keller Creek upstream of Stump Creek, at USFS picnic area.

Previous Data:
"
"525",15850,13225,132,"Green River","Green River","","",1237971442748,NA,2265,"Alsea","Northern Oregon Coastal","0 to 6.7",0,6.7,"Temperature","Year Round (Non-spawning)",71,2004,"4/14/2005","No action",21,33,"Core cold water habitat","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: Added to database","Previous Assessment Year: 2004","","Core cold water habitat: 16.0 degrees Celsius 7-day-average maximum","","Previous Data:  [WSC Alsea] LASAR 28042 River Mile 0: From 6/28/2001 to 9/20/2001, 82 days with 7-day-average maximum > 16 degrees Celsius.
[NF - Siuslaw] LASAR 28046 River Mile 5.5: From 6/18/1999 to 9/30/1999, 0 days with 7-day-average maximum > 16 de"
"526",28406,13131,132,"Mill Creek","Mill Creek","","",1234447450906,NA,2001,"Yamhill","Willamette","0 to 22.2",0,22.2,"Temperature","Year Round (Non-spawning)",71,2010,"1/29/2013","No action",21,17,"Salmon and trout rearing and migration","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: Status modification - EPA addition to 303(d) list","Previous Assessment Year: 2010","","Rearing: 17.8 C","","2010 Data:
EPA addition to 303(d) list 12/14/2012:  Exceedences of the Salmonid Rearing and Migration Criteria (18 C) as high as 23.2 C in July 2003 at LASAR station 28474, Mill Creek upstream of Hwy 22.

Previous Data:
[Weyerhauser] LASAR 29456 River"
"527",29454,8360,130,"Twelvemile Creek","Twelvemile Creek","","",1199663420530,NA,822,"Warner Lakes","Oregon Closed Basins","13 to 17.3",13,17.3,"Silver","Year Round",3,2012,"6/25/2013","No status change",13,24,"Aquatic life","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: No status change","Previous Assessment Year: 2004","","Table 20 Toxic Substances","","2012 Data:
[ODEQ] STATION 24149 at RM 14.5 for 5 samples from 08/21/2000 to 11/06/2000, 3 of 4 valid samples exceed the 0.12 ug/L criteria 

Previous Data:  [DEQ] LASAR 24149 River Mile 14.5: From 8/21/2000 to 11/6/2000, 0 out of 4 samples > applicabl"
"528",16946,8362,99,"Birch Creek","Birch Creek","","",1188815456558,NA,617,"Umatilla","Middle Columbia","0 to 15.6",0,15.6,"Iron","Year Round",3,2004,"1/30/2006","No action",21,24,"Fishing; Drinking water; Aquatic life; Human health","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: No status change","Previous Assessment Year: 2004","","Table 20 Toxic Substances","","Previous Data:  [DEQ] LASAR 12188 River Mile 15.4: From 8/26/1998 to 8/26/1998, 0 out of 1 samples > applicable Table 20 criterion.
[ODA] LASAR 12004 River Mile 0.8: From 4/30/1996 to 8/8/1996, 3 out of 6 samples > applicable Table 20 criterion.
[DEQ]"
"529",28748,18217,76,"Elk Creek","Elk Creek","","",1234510440554,NA,10188,"Upper Willamette","Willamette","0 to 5.9",0,5.9,"E. Coli","Summer",1,2012,"4/1/2013","Status modification",24,1,"Water contact recreation","Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: Cat 3: Insufficient data","Previous Action: Added to database","Previous Assessment Year: 2004","TMDL Approved: 09/29/2006
Willamette Basin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Willamette Basin TMDL</a>","30-day log mean of 126 E. coli organisms per 100 ml; no single sample > 406 organisms per 100 ml","","Based on EPA analysis of available data for 303(d) additions proposed in March 2012: Three exceedences of the 406 maximum criteria out of 5 days of sampling at LASAR station 33200, South Fork Pudding River at Cascade Hwy, between 6/17/04 and 9/18/06. Pre"
"530",26409,21907,76,"Mount Scott Creek","Mount Scott Creek","","",1226132454243,NA,1496,"Lower Willamette","Willamette","0 to 6.1",0,6.1,"E. Coli","Summer",1,2010,"10/29/2010","No action",21,1,"Water contact recreation","Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved","Previous Action: Delisted - TMDL approved","Previous Assessment Year: 2010","TMDL Approved: 09/29/2006
Willamette Basin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Willamette Basin TMDL</a>","30-day log mean of 126 E. coli organisms per 100 ml; no single sample > 406 organisms per 100 ml","","2004 Data:
[Clackamas County WES] Site ID 25525 River Mile 0.2:  From 6/20/2001 to 8/20/2002, 5 out of 5 samples (100%) > 406 organisms.
[Clackamas County WES] Site ID 25524 River Mile 2.3:  From 6/20/2001 to 8/20/2002, 2 out of 5 samples (40%) > 406 o"
"531",28604,24737,154,"Alsea River","Alsea River","","",1240782444222,NA,31655,"Alsea","Northern Oregon Coastal","27 to 47.4",27,47.4,"Dissolved Oxygen","September 1 - June 15",49,2010,"1/29/2013","No action",21,4,"","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: EPA addition to 303(d) list","Previous Assessment Year: 2010","","Spawning: Not less than 11.0 mg/L or 95% of saturation","","2010 Data:
EPA addition to 303(d) list 12/14/2012:  Two exceedences of the spawning criteria  out of 13 days of sampling between 3/26/07 and 9/25/08 at LASAR station 10585, Alsea River at Five Rivers Bridge. Four exceedences of the spawning criteria  ou"
"532",28115,20913,154,"Crystal Creek","Crystal Creek","","",1220237435808,NA,3284,"Upper Deschutes","Deschutes","0 to 2.8",0,2.8,"Dissolved Oxygen","August 15 - June 15",39,2010,"1/29/2013","No action",21,4,"Resident trout spawning; Bull trout spawning and juvenile rearing","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: Status modification - EPA addition to 303(d) list","Previous Assessment Year: 2010","","Spawning: Not less than 11.0 mg/L or 95% of saturation","","2010 Data:
EPA addition to 303(d) list 12/14/2012:  Three exceedences of the spawning criteria  out of 8 days of sampling between 5/24/01 and9/8/04 at LASAR station 25511, Crystal Creek at mouth.

Previous Data: 
[DEQ] LASAR 25511 River Mile 0.7: From"
"533",26535,5716,156,"Smith River","Smith River","","",1240888437043,NA,2511,"Umpqua","Southern Oregon Coastal","77.5 to 88.7",77.5,88.7,"Biological Criteria","Year Round",3,2010,"2/18/2011","No action",21,3,"Resident fish and aquatic life","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: Status modification - Added to 303(d) list","Previous Assessment Year: 2010","","Biocriteria: Waters of the state must be of sufficient quality to support aquatic species without detrimental changes in the resident biological communities.","","2010 Data: 
LASAR 33426 River Mile 82.26 FROM 8/23/2006 To 8/23/2006 1 out of 1 (100%) samples outside MWCF regional criteria.

Previous Data:  Streams are considered impaired with a Discriminant Score of  <61 points.  Discriminant score was 42, howev"
"534",28119,24485,154,"Odell Creek/Odell Lake","Odell Creek","Odell Lake","",1220475435847,1219963435741,1269,"Upper Deschutes","Deschutes","11 to 16.3",11,16.3,"Dissolved Oxygen","August 15 - June 15",39,2010,"1/29/2013","No action",21,4,"","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: EPA addition to 303(d) list","Previous Assessment Year: 2010","","Spawning: Not less than 11.0 mg/L or 95% of saturation","","2010 Data:
EPA addition to 303(d) list 12/14/2012:  Three exceedences of the spawning criteria  out of 6 days of sampling between 5/24/01 or 11/19/01 at LASAR station25508, Odell Lake at Shelter Cove dock. Two exceedences of the spawning criteria  out o"
"535",10928,5740,171,"Kent Creek","Kent Creek","","",1234390431042,NA,1995,"South Umpqua","Southern Oregon Coastal","0 to 5.8",0,5.8,"Habitat Modification","Undefined",72,2002,"8/1/2002","No action",21,4,"Salmonid fish spawning; Resident fish and aquatic life; Salmonid fish rearing","Cat 4C: Water quality limited, not a pollutant",16,"Previous Status: Water quality limited not needing a TMDL","Previous Action: Delisted - Water quality limited, not a pollutant","Previous Assessment Year: 2002","","The creation of tastes or odors or toxic or other conditions that are deleterious to fish or other aquatic life or affect the potability of drinking water or the palatability of fish or shellfish may not be allowed.","","Streams contribute to the habitat of fish species protected by the Oregon Plan and the Stream Survey indicates that a majority of the 2-5 order streams in the watershed do not met either the Large Woody Debris Frequency (for 50%of the stream length 4 or"
"536",2696,2749,86,"Thompson Creek","Thompson Creek","","",1239893449831,NA,2428,"Siletz-Yaquina","Northern Oregon Coastal","0 to 2",0,2,"Fecal Coliform","Summer",1,1998,"12/1/1998","No action",21,29,"Water contact recreation","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: 303(d)","Previous Action: Added to database","Previous Assessment Year: 1998","","Fecal coliform log mean of 200 organisms per 100 ml; no more than 10% > 400 per 100 ml","","Previous Data:  DLWID Data (2 Sites: Above campground and Near mouth; data for site near mouth shown): 75% (9 of 12) Summer values exceeded fecal coliform standard (400) with a maximum of 13500 in 1990 - 1991.  Although stream segment is to short to spli"
"537",29305,21933,154,"Claggett Creek","Claggett Creek","","",1230310450293,NA,2852,"Middle Willamette","Willamette","0 to 5.2",0,5.2,"Dissolved Oxygen","Year Round (Non-spawning)",71,2012,"6/25/2013","No status change",13,8,"","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: Added to database","Previous Assessment Year: 2004","","Cool water: Not less than 6.5 mg/l","","2012 Data:
[USGS] STATION 450022123012400 at RM 1.8 from 11/05/2003 to 08/30/2004, 1 of 3 (33%) samples < 6.5 mg/L.
[DEQ] STATION 33488 at RM 3.2 from 08/02/2006 to 08/02/2006, 0 of 1 (0%) samples < 6.5 mg/L

Previous Data:  City of Salem] Site CGT5"
"538",26112,13075,132,"Calapooia River","Calapooia River","","",1231108446399,NA,9778,"Upper Willamette","Willamette","0 to 35.7",0,35.7,"Temperature","Year Round (Non-spawning)",71,2010,"10/29/2010","No action",21,34,"Salmon and trout rearing and migration","Cat 5: Water quality limited, 303(d) list, TMDL needed",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved","Previous Action: Delisted - TMDL approved","Previous Assessment Year: 2010","TMDL Approved: 09/29/2006
Willamette Basin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Willamette Basin TMDL</a>","Salmon and trout rearing and migration: 18.0 degrees Celsius 7-day-average maximum","","2004 Data: 
[DEQ] LASAR 11182 River Mile 18.2: From 6/10/2001 to 9/21/2001, 104 days with 7-day-average maximum > 18 degrees Celsius.
[DEQ] LASAR 25451 River Mile 13.6: From 6/10/2001 to 9/21/2001, 104 days with 7-day-average maximum > 18 degrees Celsi"
"539",29468,24524,154,"Ash Creek","Ash Creek","","",1227827454392,NA,31560,"Tualatin","Willamette","0 to 1.4",0,1.4,"Dissolved Oxygen","October 15 - May 15",46,2012,"6/25/2013","No status change",13,4,"","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: EPA addition to 303(d) list","Previous Assessment Year: 2010","","Spawning: Not less than 11.0 mg/L or 95% of saturation","","2012 Data:
[USGS] STATION 14206935 at RM 0.2 from 11/28/2000 to 10/25/2006, 12 of 30 (40%) samples < 11.0 mg/l and < 95% saturation.
[USGS] STATION 452631122463101 at RM 0.4 from 05/14/2001 to 05/14/2001, 1 of 1 (100%) samples < 11.0 mg/l and < 95% sat"
"540",29344,16455,99,"Willamette River","Willamette River","","",1227618456580,NA,9321,"Upper Willamette","Willamette","148.8 to 186.6",148.8,186.6,"Iron","Year Round",3,2012,"6/25/2013","No status change",13,24,"Aquatic life","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: Added to database","Previous Assessment Year: 2004","","Table 20 Toxic Substances","","2012 Data:
[ODEQ] STATION 10355 at RM 161.6 for 21 samples from 01/11/2000 to 09/24/2001, 0 of 0 valid samples exceed the 1000 ug/L criteria.
[ODEQ] STATION 10359 at RM 184.7 for 10 samples from 02/02/2000 to 08/07/2001, 0 of 0 valid samples exceed the"
"541",29466,24520,154,"Butte Creek","Butte Creek","","",1227735451611,NA,31557,"Molalla-Pudding","Willamette","11.9 to 16.9",11.9,16.9,"Dissolved Oxygen","September 1 - June 15",49,2012,"6/25/2013","No status change",13,4,"","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: EPA addition to 303(d) list","Previous Assessment Year: 2010","","Spawning: Not less than 11.0 mg/L or 95% of saturation","","2012 Data:
[DEQ] STATION 10898 at RM 13.7 from 09/09/2005 to 09/09/2005, 1 of 1 (100%) samples < 11.0 mg/l and < 95% saturation.
[DEQ] STATION 31874 at RM 16.1 from 10/23/2002 to 06/14/2007, 5 of 13 (38%) samples < 11.0 mg/l and < 95% saturation

201"
"542",29467,24584,154,"Panther Creek","Panther Creek","","",1231806452443,NA,31590,"Yamhill","Willamette","7.6 to 14",7.6,14,"Dissolved Oxygen","Year Round (Non-spawning)",71,2012,"6/25/2013","Use clarification, segment modified",16,7,"","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: EPA addition to 303(d) list","Previous Assessment Year: 2010","","Cold water: Not less than 8.0 mg/l or 90% of saturation","","2012 Data:
[DEQ] STATION 30676 at RM 8.9 from 06/28/2005 to 10/01/2006, 1 of 8 (12%) samples < 8.0 mg/l and < 90% saturation

2010 Data:
EPA addition to 303(d) list 12/14/2012:  Two exccedences of the cold water aquatic life  criteria  out of 16 days"
"543",28559,13272,132,"Williamson Creek","Williamson Creek","","",1239748443170,NA,2422,"Alsea","Northern Oregon Coastal","0 to 2.7",0,2.7,"Temperature","Year Round (Non-spawning)",71,2010,"1/29/2013","No action",21,17,"Salmon and trout rearing and migration","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: Status modification - EPA addition to 303(d) list","Previous Assessment Year: 2010","","Rearing: 17.8 C","","2010 Data:
EPA addition to 303(d) list 12/14/2012:  Exceedences of the salmonid rearing criterion (18C) as high as 19.2C in July 2006, 19.0 in July 2004 and 19.1 in July 2003  at LASAR station 23747, Williamson Creek at mouth, tributary to North Fork Ya"
"544",29374,24527,154,"Bochsler Creek","Bochsler Creek","","",1227943450944,NA,31562,"Molalla-Pudding","Willamette","0 to 4.6",0,4.6,"Dissolved Oxygen","January 1 - May 15",41,2012,"6/25/2013","No status change",13,4,"","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: EPA addition to 303(d) list","Previous Assessment Year: 2010","","Spawning: Not less than 11.0 mg/L or 95% of saturation","","2012 Data:
[DEQ] STATION 11514 at RM 0.6 from 04/15/2005 to 04/21/2009, 26 of 33 (79%) samples < 11.0 mg/l and < 95% saturation

2010 Data:
EPA addition to 303(d) list 12/14/2012:  Twenty-eight exceedences of the spawning criteria  out of 33 days of"
"545",10933,5745,171,"Cow Creek","Cow Creek","","",1233379429474,NA,1952,"South Umpqua","Southern Oregon Coastal","0 to 26.3",0,26.3,"Habitat Modification","Undefined",72,2002,"8/1/2002","No action",21,4,"Salmonid fish spawning; Resident fish and aquatic life; Salmonid fish rearing","Cat 4C: Water quality limited, not a pollutant",16,"Previous Status: Water quality limited not needing a TMDL","Previous Action: Delisted - Water quality limited, not a pollutant","Previous Assessment Year: 2002","","The creation of tastes or odors or toxic or other conditions that are deleterious to fish or other aquatic life or affect the potability of drinking water or the palatability of fish or shellfish may not be allowed.","","Streams contribute to the habitat of fish species protected by the Oregon Plan and the Stream Survey indicates that a majority of the 2-5 order streams in the watershed do not met either the Large Woody Debris Frequency (for 50%of the stream length 4 or"
"546",10820,5470,171,"Steamboat Creek","Steamboat Creek","","",1227368433445,NA,1566,"North Umpqua","Southern Oregon Coastal","10.9 to 23.4",10.9,23.4,"Habitat Modification","Undefined",72,2002,"8/1/2002","No action",21,4,"Salmonid fish spawning; Resident fish and aquatic life; Salmonid fish rearing","Cat 4C: Water quality limited, not a pollutant",16,"Previous Status: Water quality limited not needing a TMDL","Previous Action: Delisted - Water quality limited, not a pollutant","Previous Assessment Year: 2002","","The creation of tastes or odors or toxic or other conditions that are deleterious to fish or other aquatic life or affect the potability of drinking water or the palatability of fish or shellfish may not be allowed.","","Study shows reduced large wood pg. 92, spawning densities pg. 101 and macroinvertebrates pg. 108.  Streams contribute to the habitat of fish species protected by the Oregon Plan and the Stream Survey indicates that a majority of the 2-5 order streams in"
"547",28405,24295,156,"Mill Creek","Mill Creek","","",1234447450906,NA,31438,"Yamhill","Willamette","0 to 16.7",0,16.7,"Biological Criteria","Year Round",3,2010,"1/29/2013","No action",21,3,"Aquatic life","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: Status modification - EPA addition to 303(d) list","Previous Assessment Year: 2010","","Biocriteria: Waters of the state must be of sufficient quality to support aquatic species without detrimental changes in the resident biological communities.","","2010 Data:
EPA addition to 303(d) list 12/14/2012:  LASAR 30681 River Mile 1.8 FROM 9/12/2003 To 9/6/2004 2 out of 2 (100%) samples outside MWCF regional criteria.
LASAR 30407 River Mile 4.02 FROM 6/23/2003 To 6/23/2003 1 out of 1 (100%) samples outside"
"548",28677,24794,76,"Cunningham Creek","Cunningham Creek","","",1242026431787,NA,2577,"Coquille","Southern Oregon Coastal","0 to 7.4",0,7.4,"E. Coli","Summer",1,2010,"1/29/2013","No action",21,1,"Water contact recreation","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: EPA addition to 303(d) list","Previous Assessment Year: 2010","","30-day log mean of 126 E. coli organisms per 100 ml; no single sample > 406 organisms per 100 ml","","2010 Data:
EPA addition to 303(d) list 12/14/2012:  Three exceedences of the 406 maximum criteria out of 5 days of sampling at LASAR station 11574, Cunningham Creek at County Park, between 6/26/07 and 8/1/07. Four exceedences of the 406 maximum criteria"
